employee_id,name,role,skills,experience_years,current_workload_percent
EMP0251,Employee_251,ML Engineer,LLM;VectorDB;Node.js,6,74
EMP0252,Employee_252,Frontend Developer,LLM;Node.js;TensorFlow;Python;PyTorch;RAG,1,17
EMP0253,Employee_253,AI Engineer,LLM;APIs;Python;Docker,3,13
EMP0254,Employee_254,Backend Developer,TensorFlow;Docker;RAG;VectorDB;Python,8,47
EMP0255,Employee_255,Frontend Developer,Python;Node.js;React;Kubernetes;Pandas,3,14
EMP0256,Employee_256,Data Engineer,RAG;LangChain;Python;Kubernetes;Docker,9,31
EMP0257,Employee_257,Data Engineer,React;PyTorch;Python;Docker;RAG;Pandas,7,72
EMP0258,Employee_258,Frontend Developer,LangChain;Node.js;Pandas;SQL;VectorDB;TensorFlow,10,36
EMP0259,Employee_259,AI Engineer,LLM;PyTorch;Python;LangChain;TensorFlow,9,79
EMP0260,Employee_260,ML Engineer,Python;VectorDB;PyTorch;React,3,18
EMP0261,Employee_261,Backend Developer,Docker;SQL;LLM;Node.js,12,90
EMP0262,Employee_262,Backend Developer,TensorFlow;Docker;Python;LangChain,3,51
EMP0263,Employee_263,Frontend Developer,Node.js;Kubernetes;RAG,7,44
EMP0264,Employee_264,Backend Developer,RAG;Kubernetes;VectorDB;TensorFlow;PyTorch;React,11,74
EMP0265,Employee_265,ML Engineer,TensorFlow;RAG;VectorDB;React;SQL,5,63
EMP0266,Employee_266,Frontend Developer,Kubernetes;Python;LangChain;Docker;PyTorch,9,12
EMP0267,Employee_267,AI Engineer,VectorDB;Kubernetes;RAG;React;TensorFlow,6,88
EMP0268,Employee_268,Data Scientist,Pandas;React;VectorDB;RAG;LangChain,12,56
EMP0269,Employee_269,Data Scientist,VectorDB;Pandas;PyTorch,7,59
EMP0270,Employee_270,Frontend Developer,React;Node.js;VectorDB;Python,12,24
EMP0271,Employee_271,Frontend Developer,APIs;Docker;PyTorch;SQL,10,20
EMP0272,Employee_272,Backend Developer,LangChain;Python;Pandas;VectorDB,11,26
EMP0273,Employee_273,ML Engineer,VectorDB;LangChain;Pandas;Node.js,3,84
EMP0274,Employee_274,Data Scientist,RAG;Kubernetes;LangChain;Docker,9,42
EMP0275,Employee_275,ML Engineer,React;VectorDB;Docker,12,16
EMP0276,Employee_276,Data Scientist,LLM;SQL;Pandas;Kubernetes;APIs;RAG,4,12
EMP0277,Employee_277,DevOps Engineer,APIs;LLM;TensorFlow;Node.js;Pandas,2,84
EMP0278,Employee_278,DevOps Engineer,TensorFlow;LangChain;APIs;Docker,6,40
EMP0279,Employee_279,ML Engineer,TensorFlow;VectorDB;APIs;PyTorch,7,24
EMP0280,Employee_280,DevOps Engineer,APIs;Docker;React,4,23
EMP0281,Employee_281,Backend Developer,Docker;LangChain;Node.js;VectorDB,11,20
EMP0282,Employee_282,Frontend Developer,Python;Docker;RAG;SQL;APIs,7,22
EMP0283,Employee_283,AI Engineer,LangChain;APIs;React,6,76
EMP0284,Employee_284,ML Engineer,PyTorch;Python;Kubernetes;RAG;LangChain,2,37
EMP0285,Employee_285,Data Engineer,LLM;Pandas;APIs;Node.js;VectorDB,2,62
EMP0286,Employee_286,Data Scientist,APIs;Kubernetes;LangChain,10,75
EMP0287,Employee_287,Data Scientist,SQL;Pandas;APIs;PyTorch,5,83
EMP0288,Employee_288,Backend Developer,React;Python;Kubernetes;Docker,8,40
EMP0289,Employee_289,Frontend Developer,Node.js;Pandas;Kubernetes;TensorFlow;APIs;Docker,3,79
EMP0290,Employee_290,Frontend Developer,TensorFlow;LangChain;Node.js;Pandas;VectorDB,1,81
EMP0291,Employee_291,DevOps Engineer,Docker;RAG;LangChain;Kubernetes;TensorFlow;SQL,8,90
EMP0292,Employee_292,Data Scientist,APIs;React;TensorFlow;VectorDB;Pandas,8,35
EMP0293,Employee_293,Backend Developer,SQL;LLM;TensorFlow,7,74
EMP0294,Employee_294,Backend Developer,SQL;Docker;PyTorch;Python,1,65
EMP0295,Employee_295,Frontend Developer,PyTorch;TensorFlow;Kubernetes;RAG;Pandas,1,39
EMP0296,Employee_296,Data Scientist,SQL;Kubernetes;PyTorch;React;Pandas,10,87
EMP0297,Employee_297,ML Engineer,LLM;RAG;TensorFlow;Docker;Pandas,3,23
EMP0298,Employee_298,ML Engineer,React;VectorDB;Kubernetes,3,73
EMP0299,Employee_299,Data Engineer,SQL;VectorDB;LangChain,4,39
EMP0300,Employee_300,Data Scientist,Node.js;LangChain;Python;PyTorch,5,13
EMP0301,Employee_301,Data Engineer,LLM;Node.js;APIs;Kubernetes;PyTorch;Pandas,11,72
EMP0302,Employee_302,AI Engineer,SQL;RAG;TensorFlow;LangChain;LLM,7,51
EMP0303,Employee_303,Data Engineer,VectorDB;Node.js;React;LLM;Docker,11,84
EMP0304,Employee_304,AI Engineer,RAG;VectorDB;Pandas;LLM;APIs;SQL,2,66
EMP0305,Employee_305,AI Engineer,RAG;TensorFlow;LLM;Node.js;Python;Pandas,2,18
EMP0306,Employee_306,AI Engineer,LLM;PyTorch;LangChain;Pandas,5,38
EMP0307,Employee_307,AI Engineer,Node.js;SQL;LangChain;VectorDB;PyTorch;Docker,5,71
EMP0308,Employee_308,Data Engineer,TensorFlow;LangChain;LLM;RAG,4,31
EMP0309,Employee_309,Data Scientist,Pandas;React;LLM;TensorFlow;LangChain,6,56
EMP0310,Employee_310,DevOps Engineer,Pandas;Kubernetes;LLM;React;RAG,12,75
EMP0311,Employee_311,ML Engineer,LangChain;LLM;APIs;Docker;React,3,47
EMP0312,Employee_312,Data Engineer,LLM;Docker;Python;VectorDB;React,11,26
EMP0313,Employee_313,Data Scientist,PyTorch;TensorFlow;APIs,3,19
EMP0314,Employee_314,DevOps Engineer,RAG;TensorFlow;Pandas;SQL,7,65
EMP0315,Employee_315,ML Engineer,RAG;React;Pandas,8,62
EMP0316,Employee_316,ML Engineer,Python;Pandas;PyTorch;LLM,6,39
EMP0317,Employee_317,Frontend Developer,Node.js;VectorDB;Kubernetes,5,85
EMP0318,Employee_318,Data Scientist,Docker;APIs;Pandas,1,35
EMP0319,Employee_319,Data Scientist,Pandas;React;VectorDB;TensorFlow;Node.js;LLM,10,20
EMP0320,Employee_320,Data Scientist,SQL;Docker;RAG;Kubernetes,11,24
EMP0321,Employee_321,DevOps Engineer,Docker;Node.js;SQL,9,62
EMP0322,Employee_322,Data Engineer,React;APIs;Node.js;SQL;Python,1,82
EMP0323,Employee_323,Frontend Developer,React;LangChain;SQL;APIs,1,86
EMP0324,Employee_324,ML Engineer,Kubernetes;Docker;Python;RAG,10,45
EMP0325,Employee_325,Data Engineer,Pandas;PyTorch;React;Kubernetes;LangChain,4,60
EMP0326,Employee_326,Data Engineer,APIs;Docker;Python;LLM,2,11
EMP0327,Employee_327,DevOps Engineer,SQL;LangChain;Docker,10,81
EMP0328,Employee_328,Data Scientist,Docker;SQL;React;APIs;Kubernetes;PyTorch,4,13
EMP0329,Employee_329,Frontend Developer,Node.js;LangChain;Pandas,2,34
EMP0330,Employee_330,ML Engineer,RAG;LangChain;React;Kubernetes;LLM;APIs,10,11
EMP0331,Employee_331,Data Engineer,VectorDB;PyTorch;Pandas;Python;LangChain;SQL,12,89
EMP0332,Employee_332,Data Engineer,RAG;Kubernetes;SQL;LLM;VectorDB,7,34
EMP0333,Employee_333,DevOps Engineer,Python;React;PyTorch;Kubernetes;APIs;LangChain,4,60
EMP0334,Employee_334,Backend Developer,LLM;Docker;React;Python;VectorDB,5,25
EMP0335,Employee_335,AI Engineer,LLM;Node.js;RAG;LangChain;Python;SQL,6,53
EMP0336,Employee_336,ML Engineer,LLM;SQL;APIs,7,31
EMP0337,Employee_337,Data Scientist,Pandas;PyTorch;LLM;RAG;LangChain,6,30
EMP0338,Employee_338,AI Engineer,RAG;APIs;PyTorch;Kubernetes;VectorDB;LLM,10,55
EMP0339,Employee_339,Backend Developer,PyTorch;Node.js;LLM,4,89
EMP0340,Employee_340,AI Engineer,APIs;RAG;SQL;PyTorch,11,29
EMP0341,Employee_341,Data Scientist,Pandas;RAG;APIs;LangChain,10,16
EMP0342,Employee_342,Data Scientist,React;Kubernetes;LLM,7,44
EMP0343,Employee_343,Data Engineer,Docker;LangChain;APIs;React;Pandas;TensorFlow,1,30
EMP0344,Employee_344,ML Engineer,React;Node.js;TensorFlow;RAG,4,85
EMP0345,Employee_345,DevOps Engineer,React;Pandas;VectorDB,7,20
EMP0346,Employee_346,Data Scientist,SQL;Node.js;RAG;LangChain;PyTorch,3,25
EMP0347,Employee_347,AI Engineer,TensorFlow;Pandas;APIs;LLM,1,41
EMP0348,Employee_348,DevOps Engineer,React;LLM;Docker,6,27
EMP0349,Employee_349,DevOps Engineer,RAG;LLM;LangChain;PyTorch,1,69
EMP0350,Employee_350,DevOps Engineer,RAG;Python;Pandas;Node.js;PyTorch,1,20
EMP0351,Employee_351,Frontend Developer,TensorFlow;Pandas;React,2,75
EMP0352,Employee_352,DevOps Engineer,PyTorch;VectorDB;APIs,3,63
EMP0353,Employee_353,Data Engineer,Kubernetes;SQL;PyTorch;Pandas,4,21
EMP0354,Employee_354,AI Engineer,PyTorch;LangChain;TensorFlow;Docker,7,51
EMP0355,Employee_355,Frontend Developer,TensorFlow;Python;Docker,6,14
EMP0356,Employee_356,Backend Developer,SQL;Node.js;Docker,10,63
EMP0357,Employee_357,AI Engineer,Python;Node.js;LangChain;RAG,8,33
EMP0358,Employee_358,Data Scientist,React;Python;Node.js;Docker;APIs,1,68
EMP0359,Employee_359,ML Engineer,Pandas;APIs;LLM,5,38
EMP0360,Employee_360,Data Scientist,TensorFlow;RAG;LLM;Pandas;Kubernetes,6,51
EMP0361,Employee_361,Frontend Developer,LangChain;React;LLM,7,46
EMP0362,Employee_362,ML Engineer,VectorDB;RAG;Python;LangChain;TensorFlow,7,74
EMP0363,Employee_363,AI Engineer,SQL;PyTorch;React;APIs;Kubernetes,8,44
EMP0364,Employee_364,AI Engineer,LangChain;Kubernetes;React,1,29
EMP0365,Employee_365,AI Engineer,VectorDB;PyTorch;Node.js;React;LangChain,6,31
EMP0366,Employee_366,Data Engineer,RAG;Python;Docker;LangChain,11,81
EMP0367,Employee_367,Backend Developer,PyTorch;TensorFlow;Kubernetes;Pandas,3,72
EMP0368,Employee_368,Frontend Developer,Docker;LLM;Python;TensorFlow;LangChain;React,7,10
EMP0369,Employee_369,DevOps Engineer,VectorDB;Node.js;LangChain;PyTorch;RAG,5,17
EMP0370,Employee_370,DevOps Engineer,Pandas;VectorDB;PyTorch;LangChain;Python;Kubernetes,3,24
EMP0371,Employee_371,ML Engineer,Docker;RAG;LangChain,9,43
EMP0372,Employee_372,Data Engineer,RAG;LLM;React;PyTorch,3,53
EMP0373,Employee_373,DevOps Engineer,Node.js;LLM;TensorFlow;Python;APIs;VectorDB,2,48
EMP0374,Employee_374,ML Engineer,RAG;SQL;APIs;React;LLM;Node.js,2,17
EMP0375,Employee_375,AI Engineer,LangChain;RAG;LLM;VectorDB,12,40
EMP0376,Employee_376,DevOps Engineer,Python;LangChain;Kubernetes,9,22
EMP0377,Employee_377,Data Scientist,APIs;Docker;Python;Node.js;RAG,4,58
EMP0378,Employee_378,Data Scientist,TensorFlow;LLM;Pandas;Node.js;LangChain,8,72
EMP0379,Employee_379,AI Engineer,RAG;Node.js;Python;Docker;Kubernetes;APIs,2,33
EMP0380,Employee_380,Frontend Developer,SQL;Docker;LLM;React;Pandas;TensorFlow,12,15
EMP0381,Employee_381,Data Engineer,Docker;VectorDB;LLM;Kubernetes;Pandas;APIs,9,59
EMP0382,Employee_382,Data Scientist,Pandas;Python;React;Kubernetes;SQL;APIs,3,72
EMP0383,Employee_383,Data Engineer,Docker;Pandas;LLM;Node.js;Python,6,58
EMP0384,Employee_384,ML Engineer,SQL;PyTorch;RAG,7,29
EMP0385,Employee_385,DevOps Engineer,TensorFlow;SQL;VectorDB;LangChain,5,58
EMP0386,Employee_386,AI Engineer,SQL;LangChain;PyTorch;React;Pandas,11,63
EMP0387,Employee_387,AI Engineer,VectorDB;RAG;Pandas,12,28
EMP0388,Employee_388,AI Engineer,Node.js;VectorDB;PyTorch;Pandas;TensorFlow,3,44
EMP0389,Employee_389,AI Engineer,Pandas;Node.js;LangChain;VectorDB;APIs;Kubernetes,1,28
EMP0390,Employee_390,Frontend Developer,TensorFlow;LLM;APIs;RAG;Docker,5,19
EMP0391,Employee_391,ML Engineer,Pandas;Docker;APIs,3,16
EMP0392,Employee_392,Frontend Developer,RAG;PyTorch;VectorDB;Docker,12,19
EMP0393,Employee_393,Frontend Developer,Docker;Python;Node.js;LLM;RAG;React,8,81
EMP0394,Employee_394,Data Scientist,React;Docker;RAG;Kubernetes,2,66
EMP0395,Employee_395,Data Engineer,SQL;Python;React;TensorFlow;Pandas;PyTorch,12,37
EMP0396,Employee_396,Frontend Developer,Python;SQL;Docker;Kubernetes;TensorFlow,7,75
EMP0397,Employee_397,AI Engineer,VectorDB;Pandas;React;TensorFlow;APIs,4,51
EMP0398,Employee_398,Backend Developer,Docker;LangChain;Python;TensorFlow,1,72
EMP0399,Employee_399,Data Engineer,SQL;LangChain;PyTorch;Python;LLM,9,15
EMP0400,Employee_400,AI Engineer,Pandas;VectorDB;Docker;SQL;TensorFlow;APIs,8,15
EMP0401,Employee_401,Frontend Developer,PyTorch;LangChain;Node.js;RAG,8,36
EMP0402,Employee_402,DevOps Engineer,Kubernetes;Node.js;Python;VectorDB;SQL;APIs,3,31
EMP0403,Employee_403,Data Engineer,LLM;VectorDB;SQL;Python;APIs,8,37
EMP0404,Employee_404,AI Engineer,RAG;LLM;APIs;VectorDB,12,68
EMP0405,Employee_405,Backend Developer,Kubernetes;Node.js;SQL,10,81
EMP0406,Employee_406,Frontend Developer,Kubernetes;Python;Docker;LangChain;Node.js,7,83
EMP0407,Employee_407,Frontend Developer,LangChain;Pandas;SQL;Docker;Python,6,11
EMP0408,Employee_408,AI Engineer,Docker;LangChain;LLM;PyTorch,11,89
EMP0409,Employee_409,Data Engineer,Python;Node.js;React,11,49
EMP0410,Employee_410,Frontend Developer,Kubernetes;Pandas;React;Node.js,6,18
EMP0411,Employee_411,DevOps Engineer,PyTorch;Kubernetes;Python;Docker;LLM,11,41
EMP0412,Employee_412,Frontend Developer,Node.js;Pandas;React;SQL;Docker,3,60
EMP0413,Employee_413,Data Scientist,TensorFlow;VectorDB;LangChain;Python,6,26
EMP0414,Employee_414,Frontend Developer,Node.js;APIs;LLM;Pandas;RAG;VectorDB,6,65
EMP0415,Employee_415,Backend Developer,TensorFlow;RAG;PyTorch;React;LangChain,7,46
EMP0416,Employee_416,Frontend Developer,PyTorch;SQL;APIs;Pandas;Docker;Python,9,11
EMP0417,Employee_417,Data Scientist,Node.js;PyTorch;Python;RAG,11,82
EMP0418,Employee_418,ML Engineer,Python;Pandas;Node.js;LLM;Docker;SQL,5,83
EMP0419,Employee_419,AI Engineer,React;PyTorch;SQL,12,59
EMP0420,Employee_420,AI Engineer,Pandas;VectorDB;Python;Docker;APIs;SQL,11,70
EMP0421,Employee_421,Backend Developer,VectorDB;SQL;Node.js;Kubernetes;LangChain;Docker,6,16
EMP0422,Employee_422,Frontend Developer,VectorDB;TensorFlow;Docker;Kubernetes;LLM,8,44
EMP0423,Employee_423,ML Engineer,Node.js;RAG;Kubernetes;LangChain;Python,5,32
EMP0424,Employee_424,Frontend Developer,PyTorch;Kubernetes;Node.js;RAG;LangChain;VectorDB,10,38
EMP0425,Employee_425,Data Engineer,TensorFlow;PyTorch;Python;Kubernetes,12,58
EMP0426,Employee_426,AI Engineer,Python;VectorDB;LangChain;APIs,11,59
EMP0427,Employee_427,ML Engineer,LangChain;Node.js;React;Docker;VectorDB,3,18
EMP0428,Employee_428,Backend Developer,LangChain;APIs;TensorFlow,7,47
EMP0429,Employee_429,ML Engineer,VectorDB;TensorFlow;SQL;React;LangChain;APIs,7,83
EMP0430,Employee_430,Frontend Developer,TensorFlow;SQL;Node.js,1,41
EMP0431,Employee_431,Data Engineer,LLM;Pandas;LangChain;Kubernetes;Python,4,43
EMP0432,Employee_432,Data Engineer,LangChain;Python;LLM,6,18
EMP0433,Employee_433,AI Engineer,APIs;Python;React;Node.js;Pandas;PyTorch,7,29
EMP0434,Employee_434,Data Engineer,Python;React;LangChain;Docker,12,52
EMP0435,Employee_435,Data Scientist,TensorFlow;Python;Docker,5,59
EMP0436,Employee_436,Backend Developer,Node.js;Kubernetes;PyTorch;React;Pandas,9,67
EMP0437,Employee_437,Frontend Developer,SQL;LLM;React;Node.js;TensorFlow;Docker,11,34
EMP0438,Employee_438,Data Scientist,PyTorch;RAG;Python;Node.js;VectorDB,12,76
EMP0439,Employee_439,DevOps Engineer,RAG;APIs;Kubernetes;LLM;SQL,11,37
EMP0440,Employee_440,Data Scientist,SQL;Python;LLM;RAG;VectorDB,3,47
EMP0441,Employee_441,Backend Developer,SQL;TensorFlow;LLM,5,71
EMP0442,Employee_442,Backend Developer,Docker;SQL;Node.js;APIs,6,86
EMP0443,Employee_443,AI Engineer,Node.js;VectorDB;LangChain;PyTorch;Pandas,6,57
EMP0444,Employee_444,Backend Developer,PyTorch;TensorFlow;VectorDB;React;SQL,12,12
EMP0445,Employee_445,AI Engineer,RAG;LLM;Python;APIs,2,88
EMP0446,Employee_446,AI Engineer,RAG;Docker;Pandas;PyTorch,4,81
EMP0447,Employee_447,ML Engineer,SQL;APIs;React;LangChain;PyTorch,6,80
EMP0448,Employee_448,Data Engineer,LangChain;Python;LLM;React;RAG,6,53
EMP0449,Employee_449,Data Scientist,APIs;VectorDB;Pandas;PyTorch;SQL;Docker,8,30
EMP0450,Employee_450,Data Scientist,React;Node.js;Python;VectorDB;LLM,5,53
EMP0451,Employee_451,ML Engineer,TensorFlow;Kubernetes;Python,10,17
EMP0452,Employee_452,Backend Developer,APIs;SQL;RAG;LLM,2,43
EMP0453,Employee_453,AI Engineer,PyTorch;Pandas;Kubernetes,8,19
EMP0454,Employee_454,AI Engineer,Node.js;Pandas;PyTorch;RAG;SQL,9,15
EMP0455,Employee_455,Frontend Developer,Pandas;Node.js;LLM;PyTorch,3,45
EMP0456,Employee_456,Frontend Developer,Pandas;React;VectorDB;Kubernetes,2,65
EMP0457,Employee_457,AI Engineer,Docker;Kubernetes;RAG,7,18
EMP0458,Employee_458,ML Engineer,RAG;Kubernetes;VectorDB;APIs;Python;TensorFlow,1,35
EMP0459,Employee_459,AI Engineer,LangChain;Pandas;Node.js;Python;APIs,6,46
EMP0460,Employee_460,Frontend Developer,PyTorch;VectorDB;Docker;Python;Kubernetes,8,67
EMP0461,Employee_461,AI Engineer,LLM;LangChain;RAG;Docker;SQL;VectorDB,3,73
EMP0462,Employee_462,ML Engineer,VectorDB;Docker;APIs;Kubernetes,12,40
EMP0463,Employee_463,Frontend Developer,APIs;Kubernetes;Python;PyTorch;SQL;Pandas,10,18
EMP0464,Employee_464,DevOps Engineer,SQL;LangChain;Docker;React;Kubernetes;Pandas,4,70
EMP0465,Employee_465,Frontend Developer,Node.js;React;Pandas;Kubernetes,1,75
EMP0466,Employee_466,Backend Developer,RAG;Kubernetes;LLM;React;Node.js;Python,3,29
EMP0467,Employee_467,Backend Developer,Pandas;VectorDB;LLM;React,12,68
EMP0468,Employee_468,Frontend Developer,Python;RAG;Node.js,12,10
EMP0469,Employee_469,DevOps Engineer,VectorDB;Kubernetes;SQL;PyTorch;TensorFlow,2,24
EMP0470,Employee_470,Backend Developer,LLM;Kubernetes;APIs;Pandas;SQL,1,64
EMP0471,Employee_471,Backend Developer,SQL;Kubernetes;Node.js,12,48
EMP0472,Employee_472,ML Engineer,TensorFlow;RAG;PyTorch;React;APIs,9,22
EMP0473,Employee_473,Backend Developer,SQL;Kubernetes;Pandas;LangChain;React;TensorFlow,1,68
EMP0474,Employee_474,Backend Developer,Python;LangChain;TensorFlow;Kubernetes;Node.js,6,88
EMP0475,Employee_475,Data Engineer,Python;APIs;Pandas;Kubernetes,10,90
EMP0476,Employee_476,Frontend Developer,TensorFlow;Node.js;Python,11,53
EMP0477,Employee_477,Data Engineer,Node.js;SQL;Pandas,2,30
EMP0478,Employee_478,ML Engineer,SQL;Docker;Kubernetes;Python,3,37
EMP0479,Employee_479,Data Scientist,APIs;React;Kubernetes;TensorFlow,7,76
EMP0480,Employee_480,Backend Developer,PyTorch;SQL;LLM;React;Pandas,11,78
EMP0481,Employee_481,DevOps Engineer,LLM;APIs;React;SQL;Node.js;RAG,8,41
EMP0482,Employee_482,Frontend Developer,Kubernetes;LLM;SQL,9,53
EMP0483,Employee_483,Frontend Developer,VectorDB;React;APIs;RAG;TensorFlow,10,84
EMP0484,Employee_484,ML Engineer,RAG;Pandas;APIs;LangChain;Kubernetes,3,21
EMP0485,Employee_485,ML Engineer,RAG;VectorDB;APIs;PyTorch,6,75
EMP0486,Employee_486,Data Scientist,TensorFlow;Python;PyTorch;Pandas;VectorDB;Node.js,1,61
EMP0487,Employee_487,Backend Developer,RAG;Pandas;SQL;Kubernetes,11,72
EMP0488,Employee_488,ML Engineer,SQL;Node.js;LangChain;Pandas,11,34
EMP0489,Employee_489,Frontend Developer,Pandas;Node.js;LangChain,1,49
EMP0490,Employee_490,Data Engineer,RAG;VectorDB;PyTorch;React;LangChain;Kubernetes,11,14
EMP0491,Employee_491,DevOps Engineer,LLM;Docker;Pandas;VectorDB;LangChain;TensorFlow,9,81
EMP0492,Employee_492,ML Engineer,TensorFlow;Pandas;Node.js;APIs;SQL;PyTorch,12,77
EMP0493,Employee_493,DevOps Engineer,React;LLM;APIs;TensorFlow;Pandas,9,83
EMP0494,Employee_494,Backend Developer,LLM;SQL;Docker,5,20
EMP0495,Employee_495,ML Engineer,SQL;RAG;LangChain;Docker;PyTorch,9,89
EMP0496,Employee_496,Frontend Developer,VectorDB;SQL;LLM;Node.js,6,57
EMP0497,Employee_497,DevOps Engineer,RAG;Kubernetes;VectorDB,10,60
EMP0498,Employee_498,Data Scientist,VectorDB;LLM;SQL;React;Node.js,5,60
EMP0499,Employee_499,Data Engineer,Docker;LLM;VectorDB;Python;React,3,48
EMP0500,Employee_500,Data Scientist,TensorFlow;LangChain;PyTorch,3,87
